value,depth,song position
   1181    Jason Derulo   Trumpets                                      274        41371583,11,1181
   1182    PnB Rock       Horses                                        216        41334600,10,1182
   1183    MKTO           Classic                                       285        41278467,11,1183
   1184    Keala Settle   This Is Me                                    137        41268449,6,1184
   1185    Kanye West     Off The Grid                                  81         41240213,11,1185
   1186    DaBaby         Ball If I Want To                             113        41233267,10,1186
   1187    Ugly God       Water                                         164        41230907,11,1187
   1188    Kygo           Higher Love                                   133        41227064,9,1188
   1189    Lil Skies      Creeping                                      164        41148515,11,1189
   1190    DaBaby         PRACTICE                                      123        41128399,10,1190
   1191    The Weeknd     Six Feet Under                                113        41114900,11,1191
   1192    42 Dugg        4 Da Gang                                     130        41048708,8,1192
   1193    Khalid         Know Your Worth                               133        41048656,11,1193
   1194    Vince Guaraldi TrioO Tannenbaum                                  103        41048606,10,1194
   1195    Doja Cat       Boss Bitch                                    114        40956320,11,1195
   1196    iann dior      Prospect (ft. Lil Baby)                       119        40905921,9,1196
   1197    DJ Snake       You Know You Like It                          190        40894937,11,1197
   1198    Tiësto        The Motto                                     153        40822138,10,1198
   1199    Lil Baby       Emotionally Scarred                           136        40670380,11,1199
   1200    Billie Eilish  my future                                     101        40625371,7,1200
   1201    Mabel          Don't Call Me Up                              119        40566845,11,1201
   1202    Eminem         The Ringer                                    69         40558381,10,1202
   1203    CORPSE         EGIRLS ARE RUINING MY LIFE!                   145        40429203,11,1203
   1204    Juice WRLD     Already Dead                                  90         40414209,9,1204
   1205    Kendrick Lamar Alright                                       294        40414154,11,1205
   1206    James Arthur   Train Wreck                                   149        40405517,10,1206
   1207    Taylor Swift   Sweet Nothing                                 43         40294896,11,1207
   1208    The Vamps      All Night                                     139        40284365,8,1208
   1209    BoyWithUke     Toxic                                         136        40146871,11,1209
   1210    Lunay          Soltera  Remix                                128        40085149,10,1210
   1211    Mitski         Washing Machine Heart                         175        40063249,11,1211
   1212    Metro Boomin   Creepin'                                      27         40029650,9,1212
   1213    Diane Guerrero What Else Can I Do?                           99         40013524,11,1213
   1214    Juice WRLD     Feeling                                       145        39966946,10,1214
   1215    Jon Pardi      Heartache On The Dance Floor                  196        39943232,11,1215
   1216    Young Thug     Wyclef Jean                                   215        39926738,5,1216
   1217    Rae Sremmurd   Perplexing Pegasus                            124        39910027,11,1217
   1218    Drake          On BS                                         53         39870499,10,1218
   1219    Natalie La RoseSomebody                                      190        39818528,11,1219
   1220    Lil Uzi Vert   Lo Mein                                       84         39778729,9,1220
   1221    Kanye West     Follow God                                    59         39754713,11,1221
   1222    Curtis Waters  Stunnin'                                      126        39723968,10,1222
   1223    Imagine DragonsWhatever It Takes                             168        39672015,11,1223
   1224    Drake          Grammys                                       137        39537457,8,1224
   1225    Post Malone    Same Bitches                                  75         39468552,11,1225
   1226    Calvin Harris  Promises                                      80         39351225,10,1226
   1227    A Boogie Wit da HoodieNumbers                                       105        39288171,11,1227
   1228    6LACK          Ex Calling                                    181        39262008,9,1228
   1229    Maluma         Felices los 4                                 176        39158450,11,1229
   1230    Drake          Free Smoke                                    89         39074289,10,1230
   1231    Gunna          P power                                       112        39009578,11,1231
   1232    Martin Garrix  There for You                                 103        38986100,7,1232
   1233    Chris Brown    Ayo                                           300        38923396,11,1233
   1234    J. Cole        Kevin’s Heart                               65         38876039,10,1234
   1235    PinkPantheress Pain                                          125        38859397,11,1235
   1236    Axwell /\ IngrossoMore Than You Know                            140        38820609,9,1236
   1237    Post Malone    Takin' Shots                                  70         38797502,11,1237
   1238    Bella Poarch   Build a Bitch                                 98         38791472,10,1238
   1239    Khalid         My Bad                                        77         38773023,11,1239
   1240    Bad Bunny      Callaita                                      133        38763386,8,1240
   1241    The Carters    APESHIT                                       96         38747584,11,1241
   1242    Juice WRLD     Bad Boy                                       105        38692795,10,1242
   1243    Paul McCartney Wonderful Christmastime [Edited Version]  Remastered 2011 / Edited Version81         38690720,11,1243
   1244    Taylor Swift   champagne problems                            86         38667750,9,1244
   1245    Katy Perry     Chained To The Rhythm                         96         38655612,11,1245
   1246    A Boogie Wit da HoodieMy Shit                                       224        38647385,10,1246
   1247    Tove Lo        Cool Girl                                     112        38626414,11,1247
   1248    Nebu Kiniza    Gassed Up                                     201        38611542,6,1248
   1249    Doja Cat       Juicy                                         133        38580608,11,1249
   1250    Avicii         Lonely Together                               132        38574770,10,1250
   1251    Drake          Sticky                                        92         38564856,11,1251
   1252    Doja Cat       Like That                                     145        38548756,9,1252
   1253    Metro Boomin   Don't Come Out The House                      102        38522839,11,1253
   1254    Olivia Rodrigo hope ur ok                                    77         38505781,10,1254
   1255    Rachel Platten Fight Song                                    217        38399295,11,1255
   1256    Normani        Motivation                                    99         38387736,8,1256
   1257    Coldplay       Adventure of a Lifetime                       187        38340714,11,1257
   1258    Iggy Azalea    Fancy                                         265        38339579,10,1258
   1259    Rae Sremmurd   Look Alive                                    226        38303341,11,1259
   1260    6ix9ine        TATI                                          124        38279853,9,1260
   1261    Olivia Rodrigo All I Want                                    130        38269468,11,1261
   1262    Anne           Marie  Alarm                                  160        38266800,10,1262
   1263    King Von       Took Her To The O                             140        38210416,11,1263
   1264    DJ Khaled      STAYING ALIVE                                 85         38209343,7,1264
   1265    Joyner Lucas   Ramen & OJ                                    118        38205698,11,1265
   1266    Future         Used to This                                  135        38172608,10,1266
   1267    Drake          With You                                      160        38137637,11,1267
   1268    Metallica      Master Of Puppets                             91         38117862,9,1268
   1269    Ty Dolla $ign  Spicy                                         144        38093021,11,1269
   1270    Judy Garland   Have Yourself A Merry Little Christmas        94         37996382,10,1270
   1271    Kanye West     Pt. 2                                         190        37809811,11,1271
   1272    Meghan Trainor Lips Are Movin                                198        37798732,8,1272
   1273    Mr.Kitty       After Dark                                    151        37792811,11,1273
   1274    ZAYN           LIKE I WOULD                                  115        37778917,10,1274
   1275    ScHoolboy Q    THat Part                                     189        37731283,11,1275
   1276    Drake          Teenage Fever                                 106        37554438,9,1276
   1277    Foo Fighters   Everlong                                      138        37520275,11,1277
   1278    The Weeknd     Sidewalks                                     107        37445842,10,1278
   1279    Joey Bada$$    Devastated                                    219        37402203,11,1279
   1280    Juice WRLD     Fast                                          90         37381807,3,1280
   1281    Meek Mill      Sharing Locations                             99         37363421,11,1281
   1282    Mother Mother  Hayloft                                       133        37325330,10,1282
   1283    Ariana Grande  bad idea                                      59         37267051,11,1283
   1284    Internet Money Blastoff                                      111        37233300,9,1284
   1285    Future         Drankin N Smokin                              125        37178805,11,1285
   1286    Aventura       Volví                                        106        37155827,10,1286
   1287    Ed Sheeran     Perfect Duet (Ed Sheeran & Beyoncé)          92         37076096,11,1287
   1288    Lil Durk       3 Headed Goat                                 138        37066331,8,1288
   1289    Demi Lovato    Cool for the Summer                           150        37034004,11,1289
   1290    Sam Feldt      Post Malone                                   124        37032413,10,1290
   1291    Fat Joe        All The Way Up                                188        36979952,11,1291
   1292    Bryce Vine     Drew Barrymore                                105        36902844,9,1292
   1293    Bad Bunny      Otro Atardecer                                115        36840103,11,1293
   1294    Calvin Harris  Outside                                       239        36830285,10,1294
   1295    6ix9ine        STOOPID                                       75         36793453,11,1295
   1296    Kygo           Firestone                                     311        36785148,7,1296
   1297    John Lennon    Happy Xmas (War Is Over)  Remastered          99         36768316,11,1297
   1298    Kendrick Lamar PRIDE.                                        92         36728595,10,1298
   1299    Brent Faiyaz   Dead Man Walking                              128        36687713,11,1299
   1300    Rod Wave       By Your Side                                  113        36673061,9,1300
   1301    Donny Hathaway This Christmas                                92         36663687,11,1301
   1302    Bebe Rexha     I Got You                                     150        36612941,10,1302
   1303    Major Lazer    Run Up                                        104        36529486,11,1303
   1304    Lil Uzi Vert   That's A Rack                                 106        36500377,8,1304
   1305    Eminem         Without Me                                    158        36410442,11,1305
   1306    Nardo Wick     Dah Dah DahDah                                95         36319897,10,1306
   1307    G              Eazy  1942                                    111        36303331,11,1307
   1308    Nicki Minaj    Bed                                           78         36281305,9,1308
   1309    Drake          Blem                                          79         36275542,11,1309
   1310    Lil Uzi Vert   Baby Pluto                                    68         36192827,10,1310
   1311    Zac Brown Band Chicken Fried                                 151        36184251,11,1311
   1312    Petit Biscuit  Sunset Lover                                  140        36146543,6,1312
   1313    Bad Bunny      Un Coco                                       122        36095670,11,1313
   1314    Juice WRLD     Hear Me Calling                               92         36021604,10,1314
   1315    Marshmello     Project Dreams                                128        36010708,11,1315
   1316    Kungs          This Girl  Kungs Vs. Cookin' On 3 Burners     128        36008168,9,1316
   1317    Juice WRLD     Blood On My Jeans                             78         35979731,11,1317
   1318    Dan + Shay     Glad You Exist                                148        35932635,10,1318
   1319    blackbear      do re mi                                      130        35925140,11,1319
   1320    ZHU            Working For It  Bonus Track                   135        35811214,8,1320
   1321    Rod Wave       Rags2Riches 2                                 98         35783137,11,1321
   1322    Chris Brown    Pills & Automobiles                           149        35766738,10,1322
   1323    Jeremih        Planez                                        244        35758456,11,1323
   1324    Miley Cyrus    Party In The U.S.A.                           135        35748063,9,1324
   1325    Dreamville     Costa Rica                                    114        35737065,11,1325
   1326    Jonas Blue     Rise                                          93         35668867,10,1326
   1327    Ariana Grande  Problem                                       277        35661474,11,1327
   1328    Black Eyed PeasRITMO (Bad Boys For Life)                     120        35566452,7,1328
   1329    Lorde          Green Light                                   92         35545428,11,1329
   1330    Saweetie       Tap In                                        110        35519560,10,1330
   1331    DaBaby         Masterpiece                                   146        35472828,11,1331
   1332    AJR            World's Smallest Violin                       129        35413229,9,1332
   1333    Blake Shelton  God's Country                                 124        35394209,11,1333
   1334    Bobby Shmurda  Hot N*gga                                     228        35391630,10,1334
   1335    Frank Sinatra  Jingle Bells  Remastered 1999                 63         35381102,11,1335
   1336    Martin Jensen  Solo Dance                                    140        35182986,8,1336
   1337    Matoma         Running Out                                   194        35179841,11,1337
   1338    Jonas Blue     Mama                                          126        35176363,10,1338
   1339    J. Cole        ATM                                           56         35156454,11,1339
   1340    YoungBoy Never Broke AgainKacey Talk                                    145        35145047,9,1340
   1341    Billie Eilish  Your Power                                    71         35111253,11,1341
   1342    2 Chainz       Good Drank                                    190        35102155,10,1342
   1343    Bad Bunny      Andrea                                        112        35085957,11,1343
   1344    Harry Styles   Little Freak                                  67         35042124,5,1344
   1345    Disclosure     Latch                                         274        35040300,11,1345
   1346    Jaymes Young   Infinity                                      116        35009706,10,1346
   1347    Drake          Spin Bout U                                   53         34999036,11,1347
   1348    Calvin Harris  Summer                                        320        34971061,9,1348
   1349    Taylor Swift   End Game                                      92         34834044,11,1349
   1350    Steve Aoki     Just Hold On                                  100        34773564,10,1350
   1351    Drake          No Friends In The Industry                    65         34759904,11,1351
   1352    Bing Crosby    Do You Hear What I Hear?                      101        34741723,8,1352
   1353    Dua Lipa       Physical                                      108        34730152,11,1353
   1354    Sam Hunt       Leave The Night On                            308        34721582,10,1354
   1355    Lil Baby       Heatin Up                                     99         34712534,11,1355
   1356    Ariana Grande  bloodline                                     56         34711489,9,1356
   1357    Tyga           SWISH                                         98         34570097,11,1357
   1358    Niall Horan    This Town                                     156        34544191,10,1358
   1359    2 Chainz       Bigger Than You                               107        34467944,11,1359
   1360    Nelly          The Fix                                       184        34379158,7,1360
   1361    Drake          Emotionless                                   42         34344959,11,1361
   1362    Meghan Trainor Made You Look                                 66         34342321,10,1362
   1363    X Ambassadors  Unsteady                                      219        34331656,11,1363
   1364    DaBaby         FIND MY WAY                                   79         34319287,9,1364
   1365    Demi Lovato    Body Say                                      129        34246166,11,1365
   1366    OneRepublic    Counting Stars                                337        34229004,10,1366
   1367    Kendrick Lamar King Kunta                                    261        34225970,11,1367
   1368    SOB X RBE      Paramedic!                                    91         34212750,8,1368
   1369    YG             Why You Always Hatin?                         185        34210856,11,1369
   1370    Jason Derulo   If It Ain't Love                              114        34209480,10,1370
   1371    Melanie MartinezPlay Date                                     91         34165887,11,1371
   1372    Kodak Black    Patty Cake                                    181        34158324,9,1372
   1373    ILOVEMAKONNEN  Tuesday                                       209        34009596,11,1373
   1374    G              Eazy  Calm Down                               252        33995673,10,1374
   1375    Tori Kelly     Hollow                                        187        33923685,11,1375
   1376    Lady Gaga      The Cure                                      96         33917544,6,1376
   1377    Andy Grammer   Fresh Eyes                                    113        33892531,11,1377
   1378    Kanye West     Yikes                                         62         33877095,10,1378
   1379    Ghost          Mary On A Cross                               86         33860020,11,1379
   1380    Jack Harlow    Dua Lipa                                      74         33818973,9,1380
   1381    Dominic Fike   3 Nights                                      117        33818461,11,1381
   1382    Joel Corry     Head & Heart                                  116        33780521,10,1382
   1383    Roddy Ricch    Tip Toe                                       97         33753889,11,1383
   1384    Gesaffelstein  Lost in the Fire                              86         33729127,8,1384
   1385    Kendrick Lamar YAH.                                          67         33680519,11,1385
   1386    Nicki Minaj    Feeling Myself                                286        33670845,10,1386
   1387    Bing Crosby    Winter Wonderland                             102        33586557,11,1387
   1388    NAV            Turks                                         99         33555764,9,1388
   1389    Trippie Redd   6 Kiss                                        91         33472853,11,1389
   1390    Polo G         Bad Man (Smooth Criminal)                     91         33440572,10,1390
   1391    Kevin Gates    Big Gangsta                                   108        33419132,11,1391
   1392    Billie Eilish  TV                                            103        33410882,7,1392
   1393    NAV            Some Way                                      179        33388503,11,1393
   1394    Armani White   BILLIE EILISH.                                101        33370246,10,1394
   1395    Post Malone    No Option                                     158        33368501,11,1395
   1396    YoungBoy Never Broke AgainSlime Belief                                  141        33352084,9,1396
   1397    Marshmello     Numb                                          126        33325524,11,1397
   1398    Polo G         GANG GANG                                     90         33276808,10,1398
   1399    Trippie Redd   Shake It Up                                   121        33147889,11,1399
   1400    Internet Money His & Hers                                    113        33133955,8,1400
   1401    Metro Boomin   Superhero (Heroes & Villains) [with Future & Chris Brown]27         33127276,11,1401
   1402    Maluma         Hawái                                        93         33107405,10,1402
   1403    Coldplay       A Sky Full of Stars                           267        33101321,11,1403
   1404    Nicki Minaj    Anaconda                                      220        33077731,9,1404
   1405    Lil Yachty     Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)80         33053745,11,1405
   1406    Bazzi          Beautiful                                     102        33048178,10,1406
   1407    Jonas Brothers What A Man Gotta Do                           78         33009718,11,1407
   1408    Arctic Monkeys I Wanna Be Yours                              105        32996699,4,1408
   1409    Internet Money Somebody                                      103        32988734,11,1409
   1410    Kid Ink        Promise                                       189        32970385,10,1410
   1411    Lee Brice      One Of Them Girls                             131        32969825,11,1411
   1412    21 Savage      Immortal                                      90         32944588,9,1412
   1413    The Kid LAROI  Thousand Miles                                96         32849517,11,1413
   1414    SpotemGottem   Beat Box 3                                    92         32841611,10,1414
   1415    Harry Styles   Grapejuice                                    56         32762005,11,1415
   1416    ROSALÍA       DESPECHÁ                                     95         32745017,8,1416
   1417    Adele          When We Were Young                            132        32744780,11,1417
   1418    Drake          Diamonds Dancing                              177        32701453,10,1418
   1419    Kanye West     Champions                                     162        32670186,11,1419
   1420    Anne           Marie  2002                                   129        32669648,9,1420
   1421    DJ ESCO        Too Much Sauce                                171        32633178,11,1421
   1422    Idina Menzel   Into the Unknown                              103        32601986,10,1422
   1423    Fall Out Boy   Uma Thurman                                   267        32593348,11,1423
   1424    Adele          Water Under the Bridge                        133        32512873,7,1424
   1425    J. Cole        Motiv8                                        54         32491973,11,1425
   1426    Chance the RapperAll Night                                     132        32466025,10,1426
   1427    SAYGRACE       You Don't Own Me                              165        32396064,11,1427
   1428    Sia            The Greatest                                  76         32383116,9,1428
   1429    DeJ Loaf       Back Up                                       222        32375664,11,1429
   1430    YBN Nahmir     Opp Stoppa                                    104        32323596,10,1430
   1431    Elle King      Ex's & Oh's                                   175        32309968,11,1431
   1432    Sleepy Hallow  Die Young                                     83         32279009,8,1432
   1433    Moneybagg Yo   Wockesha                                      108        32240474,11,1433
   1434    Noah Cyrus     Make Me (Cry)                                 120        32239430,10,1434
   1435    Nardo Wick     Me or Sum                                     118        32108987,11,1435
   1436    Bad Bunny      Si Veo a Tu Mamá                             85         32078410,9,1436
   1437    Drake          Do Not Disturb                                109        32069594,11,1437
   1438    Drake          Can’t Take A Joke                           55         32029655,10,1438
   1439    Sia            The Greatest                                  67         31996625,11,1439
   1440    Nico & Vinz    Am I Wrong                                    234        31990791,6,1440
   1441    Camila Cabello Crying in the Club                            90         31952661,11,1441
   1442    Lil Wayne      Don't Cry                                     47         31856866,10,1442
   1443    King Princess  1950                                          117        31846652,11,1443
   1444    Luis Fonsi     Échame La Culpa                              113        31845232,9,1444
   1445    Selena Gomez   The Heart Wants What It Wants                 158        31762355,11,1445
   1446    Nate Smith     Whiskey On You                                121        31720619,10,1446
   1447    A Boogie Wit da HoodieDemons and Angels                             97         31713523,11,1447
   1448    George Ezra    Budapest                                      269        31696250,8,1448
   1449    Beach Bunny    Cloud 9                                       106        31676799,11,1449
   1450    Lil Baby       Hats Off                                      102        31650216,10,1450
   1451    Alesso         Heroes (we could be)                          193        31641137,11,1451
   1452    Lizzo          Good As Hell                                  86         31639258,9,1452
   1453    DJ Snake       Loco Contigo                                  106        31617689,11,1453
   1454    Anuel AA       Secreto                                       108        31599434,10,1454
   1455    Post Malone    A Thousand Bad Times                          63         31577616,11,1455
   1456    Tory Lanez     Freaky                                        101        31554748,7,1456
   1457    Sheppard       Geronimo                                      265        31537349,11,1457
   1458    The Weeknd     Wasted Times                                  52         31536116,10,1458
   1459    Russ           BEST ON EARTH                                 115        31525891,11,1459
   1460    J. Cole        Immortal                                      86         31468094,9,1460
   1461    Ariana Grande  One Last Time                                 180        31452518,11,1461
   1462    Bad Bunny      La Difícil                                   75         31451898,10,1462
   1463    Comethazine    Walk                                          125        31394567,11,1463
   1464    Ariana Grande  fake smile                                    55         31372470,8,1464
   1465    Mark Ronson    Nothing Breaks Like a Heart                   83         31342790,11,1465
   1466    J. Cole        a m a r i                                     52         31305943,10,1466
   1467    Bastille       Pompeii                                       317        31300005,11,1467
   1468    Drake          Elevate                                       42         31220700,9,1468
   1469    Lil Dicky      $ave Dat Money                                226        31206265,11,1469
   1470    Juice WRLD     Hide                                          118        31171797,10,1470
   1471    Major Lazer    Know No Better                                95         31169274,11,1471
   1472    Juice WRLD     Reminds Me Of You                             87         31142891,5,1472
   1473    Eminem         Rap God                                       296        31065356,11,1473
   1474    Nicki Minaj    The Night Is Still Young                      186        30764917,10,1474
   1475    Juice WRLD     Stay High                                     77         30746480,11,1475
   1476    Rema           Calm Down                                     102        30698893,9,1476
   1477    Chris Brown    Party                                         151        30695726,11,1477
   1478    Lil Uzi Vert   Futsal Shuffle 2020  Bonus Track              86         30664662,10,1478
   1479    Nipsey Hussle  Racks In The Middle                           87         30654165,11,1479
   1480    Young Stoner LifeSki                                           98         30644017,8,1480
   1481    Sam Hunt       Break Up In A Small Town                      212        30587273,11,1481
   1482    5 Seconds of SummerEasier                                        86         30543478,10,1482
   1483    d4vd           Here With Me                                  71         30491119,11,1483
   1484    Ricky MontgomeryLine Without a Hook                           123        30484202,9,1484
   1485    Justin Bieber  The Feeling                                   128        30452912,11,1485
   1486    One Direction  Steal My Girl                                 172        30423805,10,1486
   1487    Melanie MartinezPity Party                                    126        30351358,11,1487
   1488    Lil Durk       Still Trappin'                                112        30319214,7,1488
   1489    GloRilla       Tomorrow 2                                    86         30296028,11,1489
   1490    Bing Crosby    Winter Wonderland  Remastered                 63         30273725,10,1490
   1491    Fetty Wap      RGF Island                                    176        30265857,11,1491
   1492    Tom Odell      Another Love                                  107        30208862,9,1492
   1493    NAV            Up                                            128        30163651,11,1493
   1494    Gwen Stefani   You Make It Feel Like Christmas               71         30163041,10,1494
   1495    Andy Williams  Happy Holiday / The Holiday Season            66         30156265,11,1495
   1496    P!nk           What About Us                                 105        30152791,8,1496
   1497    Rae Sremmurd   Throw Sum Mo                                  246        30135936,11,1497
   1498    Nirvana        Something In The Way  Remastered              68         30074497,10,1498
   1499    Passenger      Let Her Go                                    315        30069845,11,1499
   1500    Sam Hunt       Take Your Time                                239        30009669,9,1500
   1501    Selena Gomez   Look At Her Now                               67         29986586,11,1501
   1502    Morgan Wallen  Don't Think Jesus                             82         29980127,10,1502
   1503    Khalid         Outta My Head                                 65         29957244,11,1503
   1504    Offset         Legacy                                        84         29954925,6,1504
   1505    The Weeknd     Sacrifice                                     66         29954189,11,1505
   1506    Juice WRLD     Empty                                         90         29946861,10,1506
   1507    Måneskin      I WANNA BE YOUR SLAVE                         89         29927228,11,1507
   1508    Chris Brown    Questions                                     102        29925889,9,1508
   1509    Kygo           Remind Me to Forget                           92         29883022,11,1509
   1510    Lil Tecca      LOT OF ME                                     113        29881594,10,1510
   1511    Ricky MontgomeryMr Loverman                                   133        29828809,11,1511
   1512    Cashmere Cat   Trust Nobody                                  118        29819484,8,1512
   1513    Kygo           First Time                                    80         29815835,11,1513
   1514    Post Malone    Otherside                                     55         29781234,10,1514
   1515    Meghan Trainor Me Too                                        148        29771261,11,1515
   1516    Amaarae        SAD GIRLZ LUV MONEY Remix                     97         29739148,9,1516
   1517    Astrid S       Hurts So Good                                 124        29711883,11,1517
   1518    Katy Perry     Dark Horse                                    286        29708371,10,1518
   1519    Russell DickersonYours                                         139        29689707,11,1519
   1520    YoungBoy Never Broke AgainSelf Control                                  100        29638460,7,1520
   1521    6ix9ine        BEBE                                          88         29590906,11,1521
   1522    Rita Ora       Your Song                                     115        29588951,10,1522
   1523    Demi Lovato    Confident                                     147        29572453,11,1523
   1524    Ariana Grande  Santa Baby                                    89         29568644,9,1524
   1525    Nirvana        Smells Like Teen Spirit                       130        29498533,11,1525
   1526    Taylor Swift   the last great american dynasty               53         29487548,10,1526
   1527    Drake          Circo Loco                                    41         29464494,11,1527
   1528    Coldplay       Sparks                                        115        29456244,8,1528
   1529    Meek Mill      Litty                                         139        29437095,11,1529
   1530    Ashe           Moral of the Story                            78         29433590,10,1530
   1531    Zedd           Happy Now                                     70         29403914,11,1531
   1532    Lil Pump       Flex Like Ouu                                 156        29394075,9,1532
   1533    Taylor Swift   ME!                                           24         29380101,11,1533
   1534    Eminem         Venom  Music From The Motion Picture          85         29353999,10,1534
   1535    Sam Hunt       House Party                                   193        29348139,11,1535
   1536    SZA            Hit Different                                 110        29320034,2,1536
   1537    Billie Eilish  Lost Cause                                    73         29296420,11,1537
   1538    6ix9ine        KEKE                                          93         29292989,10,1538
   1539    Kendrick Lamar m.A.A.d city                                  263        29271534,11,1539
   1540    The ChainsmokersSetting Fires                                 106        29258354,9,1540
   1541    Eminem         Killshot                                      72         29215305,11,1541
   1542    Drake          Behind Barz  Bonus                            82         29207360,10,1542
   1543    Olivia Holt    History                                       112        29180302,11,1543
   1544    Lil Baby       Right On                                      91         29180138,8,1544
   1545    Gym Class HeroesCupid's Chokehold / Breakfast in America      97         29175430,11,1545
   1546    Pentatonix     Hallelujah                                    110        29155877,10,1546
   1547    21 Savage      Glock In My Lap                               82         29132742,11,1547
   1548    Ariana Grande  Focus                                         101        29128818,9,1548
   1549    Ed Sheeran     I See Fire                                    282        29113307,11,1549
   1550    Blueface       Daddy                                         101        29093232,10,1550
   1551    Future         Comin Out Strong                              109        29055414,11,1551
   1552    Fifth Harmony  Down                                          98         29050601,7,1552
   1553    NAV            Turks                                         42         28957255,11,1553
   1554    DaBaby         Red Light Green Light                         77         28897399,10,1554
   1555    Cardi B        I Do                                          73         28882876,11,1555
   1556    Moneybagg Yo   Time Today                                    102        28866424,9,1556
   1557    MadeinTYO      Ned Flanders                                  113        28845468,11,1557
   1558    ACRAZE         Do It To It                                   97         28832576,10,1558
   1559    Stephanie BeatrizWaiting On A Miracle                          83         28825661,11,1559
   1560    Kendrick Lamar LUST.                                         63         28788921,8,1560
   1561    J. Cole        i n t e r l u d e                             38         28771538,11,1561
   1562    Justin Bieber  Forever                                       56         28736753,10,1562
   1563    David Guetta   This One's for You                            110        28667578,11,1563
   1564    Bad Bunny      Dakiti                                        28         28652215,9,1564
   1565    2 Chainz       Watch Out                                     208        28638014,11,1565
   1566    Ed Sheeran     Antisocial                                    56         28620933,10,1566
   1567    Bad Bunny      Ignorantes                                    69         28586835,11,1567
   1568    Lil Uzi Vert   Seven Million                                 134        28581478,6,1568
   1569    Future         Crushed Up                                    63         28566228,11,1569
   1570    Kid Cudi       Tequila Shots                                 68         28560505,10,1570
   1571    Cardi B        Drip                                          75         28521201,11,1571
   1572    Ryan Hurd      Chasing After You                             121        28480751,9,1572
   1573    Kendrick Lamar FEEL.                                         57         28447663,11,1573
   1574    Khalid         The Ways                                      64         28436353,10,1574
   1575    Drake          Feel No Ways                                  126        28402913,11,1575
   1576    J. Cole        1985  Intro to “The Fall Off”             50         28387561,8,1576
   1577    Grupo Frontera No Se Va  En Vivo                             81         28385161,11,1577
   1578    Khalid         8TEEN                                         141        28367383,10,1578
   1579    Juice WRLD     Cigarettes                                    68         28338245,11,1579
   1580    Imagine DragonsBad Liar                                      79         28309482,9,1580
   1581    J. Cole        A Tale of 2 Citiez                            266        28230967,11,1581
   1582    Sam Smith      I'm Not The Only One                          223        28188250,10,1582
   1583    Frank Ocean    Chanel                                        112        28098153,11,1583
   1584    Harry Styles   Keep Driving                                  53         28086134,7,1584
   1585    Maty Noyes     in my miNd                                    122        28076264,11,1585
   1586    MAX            Love Me Less                                  105        28072259,10,1586
   1587    Arctic Monkeys Why'd You Only Call Me When You're High?      117        28059730,11,1587
   1588    The Weeknd     Dark Times                                    162        28019756,9,1588
   1589    Nat King Cole  Deck The Hall                                 48         27948579,11,1589
   1590    Kendrick Lamar Rich Spirit                                   52         27912896,10,1590
   1591    The Weeknd     Try Me                                        46         27901035,11,1591
   1592    Joji           Die For You                                   50         27893011,8,1592
   1593    John Mayer     New Light                                     81         27836425,11,1593
   1594    Shakira        Chantaje                                      124        27834533,10,1594
   1595    Oliver Tree    Miss You                                      75         27833633,11,1595
   1596    Drake          TSU                                           42         27807123,9,1596
   1597    Kendrick Lamar Silent Hill                                   55         27800753,11,1597
   1598    Kygo           Lose Somebody                                 91         27753100,10,1598
   1599    Big Sean       No Favors                                     78         27675013,11,1599
   1600    Billie Eilish  No Time To Die                                49         27664508,5,1600
   1601    Swedish House MafiaMoth To A Flame                               74         27573950,11,1601
   1602    Sage The GeminiNow and Later                                 99         27562204,10,1602
   1603    Gunna          Too Easy                                      83         27502756,11,1603
   1604    Post Malone    Blame It On Me                                53         27487624,9,1604
   1605    Taylor Swift   The Man                                       47         27457970,11,1605
   1606    The ChainsmokersSick Boy                                      66         27440685,10,1606
   1607    5 Seconds of SummerTeeth                                         97         27425391,11,1607
   1608    Machine Gun Kellyforget me too                                 93         27421235,8,1608
   1609    Ty Dolla $ign  Saved                                         168        27409784,11,1609
   1610    Ariana Grande  Don’t Call Me Angel (Charlie’s Angels)    51         27360657,10,1610
   1611    J. Cole        Apparently                                    294        27354030,11,1611
   1612    Lil Tecca      REPEAT IT                                     88         27334405,9,1612
   1613    Halsey         Nightmare                                     68         27306005,11,1613
   1614    French Montana No Shopping                                   121        27268306,10,1614
   1615    The ChainsmokersSomebody                                      83         27172552,11,1615
   1616    Gucci Mane     Met Gala                                      101        27121697,7,1616
   1617    Juice WRLD     Bad Energy                                    62         27097509,11,1617
   1618    Thomas Rhett   Crash and Burn                                227        27040305,10,1618
   1619    The ChainsmokersThe One                                       70         26983605,11,1619
   1620    Dean Martin    Silver Bells                                  80         26956453,9,1620
   1621    VÉRITÉ       Somebody Else                                 134        26944785,11,1621
   1622    Becky G        Shower                                        175        26898286,10,1622
   1623    Diplo          Be Right There                                170        26895339,11,1623
   1624    Hailee SteinfeldRock Bottom                                   126        26884064,8,1624
   1625    Miguel         Sure Thing                                    86         26871929,11,1625
   1626    Kygo           Born To Be Yours                              75         26853513,10,1626
   1627    Taylor Swift   The Great War                                 42         26851672,11,1627
   1628    Fetty Wap      Wake Up                                       131        26848172,9,1628
